Date,Open,High,Low,Close,Volume
05/05/2023,"26.93","27.71","26.59","27.59","146,854"
05/04/2023,"29.17","29.17","26.12","26.74","187,882"
05/03/2023,"29.00","29.36","27.83","28.09","138,729"
05/02/2023,"29.39","29.39","28.47","28.96","132,896"
05/01/2023,"28.80","29.74","28.80","29.69","58,964"
04/28/2023,"28.21","28.77","28.13","28.71","58,311"
04/27/2023,"27.70","28.31","27.70","28.17","50,603"
04/26/2023,"28.04","28.23","27.51","27.62","42,341"
04/25/2023,"28.63","28.63","28.05","28.11","40,734"
04/24/2023,"28.90","29.05","28.66","28.75","31,991"
04/21/2023,"28.46","29.05","28.46","28.89","89,701"
04/20/2023,"28.18","28.59","28.18","28.44","41,407"
04/19/2023,"28.53","28.57","28.16","28.29","47,984"
04/18/2023,"28.41","28.97","28.41","28.62","71,682"
04/17/2023,"28.25","28.51","28.08","28.44","102,816"
04/14/2023,"28.95","29.20","28.12","28.18","60,852"
04/13/2023,"28.73","28.99","28.59","28.91","57,903"
04/12/2023,"29.21","29.21","28.62","28.66","54,209"
04/11/2023,"28.82","29.32","28.65","28.92","57,906"
04/10/2023,"28.57","29.05","28.51","28.73","68,946"
04/06/2023,"28.42","28.68","27.90","28.59","128,103"
04/05/2023,"29.09","29.30","28.29","28.44","110,552"
04/04/2023,"30.24","30.24","28.78","29.09","84,929"
04/03/2023,"30.48","30.89","29.90","30.14","104,353"
03/31/2023,"29.94","30.54","29.84","30.52","130,416"
03/30/2023,"30.00","30.30","29.34","29.66","138,021"
03/29/2023,"30.94","31.08","29.72","29.73","129,657"
03/28/2023,"31.08","31.40","30.40","30.65","241,696"
03/27/2023,"31.15","31.27","30.65","31.10","131,838"
03/24/2023,"30.40","30.87","29.90","30.85","113,127"
03/23/2023,"31.62","31.86","30.37","30.61","88,228"
03/22/2023,"31.85","32.16","31.40","31.45","79,146"
03/21/2023,"31.99","32.59","31.80","31.93","72,582"
03/20/2023,"31.84","32.20","31.34","31.58","84,661"
03/17/2023,"32.13","32.32","31.34","31.65","140,169"
03/16/2023,"31.39","32.56","31.03","32.21","78,567"
03/15/2023,"31.30","31.84","31.02","31.82","119,179"
03/14/2023,"32.18","32.76","31.56","31.89","79,594"
03/13/2023,"31.73","32.07","31.03","31.40","103,447"
03/10/2023,"32.28","32.38","31.20","32.12","168,016"
03/09/2023,"32.96","33.27","32.34","32.56","66,317"
03/08/2023,"33.74","33.87","32.60","33.00","69,494"
03/07/2023,"33.22","33.85","33.11","33.77","89,948"
03/06/2023,"33.98","34.03","33.07","33.35","104,321"
03/03/2023,"34.00","34.14","33.63","33.98","60,168"
03/02/2023,"33.72","34.13","33.47","33.88","91,746"
03/01/2023,"33.92","34.51","32.91","33.96","124,000"
02/28/2023,"33.98","34.34","33.74","33.92","114,674"
02/27/2023,"34.40","34.76","33.80","34.02","101,272"
02/24/2023,"35.33","35.33","33.44","34.02","166,891"
02/23/2023,"33.01","35.99","32.80","35.46","258,799"
02/22/2023,"32.94","33.23","32.03","33.01","85,608"
02/21/2023,"33.06","33.71","32.51","32.69","131,290"
02/17/2023,"33.98","34.23","33.39","33.48","90,566"
02/16/2023,"33.85","34.18","33.46","33.85","92,206"
02/15/2023,"32.77","34.32","32.77","34.29","120,927"
02/14/2023,"32.38","32.98","32.31","32.73","77,979"
02/13/2023,"31.66","32.53","31.55","32.50","82,823"
02/10/2023,"30.76","31.71","30.62","31.62","74,754"
02/09/2023,"31.68","31.81","30.65","30.68","73,831"
02/08/2023,"32.13","32.13","31.27","31.40","67,818"
02/07/2023,"32.39","32.39","31.71","32.20","69,844"
02/06/2023,"32.67","32.98","32.17","32.49","124,025"
02/03/2023,"32.34","33.11","32.10","32.66","106,431"
02/02/2023,"32.78","33.09","32.37","32.70","63,643"
02/01/2023,"32.49","32.87","31.85","32.41","76,341"
01/31/2023,"31.22","32.46","31.22","32.42","89,283"
